gpu,algorithm,category,regime,n,mdape_in_sample,mdape_loao,max_ape_loao,mdape_loco,frac_within_2x_loao
RTX 4090,apa_p4,adaptive,python-loop,4,32.3728794204865,33.42937257926606,38.62191262042301,32.62040189259095,1.0
RTX 4090,lms,adaptive,python-loop,4,65.91526290868737,67.68736658624789,70.30768721208798,66.35385956284034,1.0
RTX 4090,nlms,adaptive,python-loop,4,40.90725330846403,43.69038127783031,52.15375761752049,41.586043929734785,1.0
RTX 4090,rls,adaptive,python-loop,4,58.58693162297023,59.740695392375926,83.99481771367297,58.8728356271552,1.0
RTX 4090,jpeg_q50,compression,parallel,2,83.93708730878194,84.5341343098122,84.54182258390678,84.23455278133841,0.0
RTX 4090,mdct_audio,compression,python-loop,3,52.46159308685541,52.53327659012987,59.10970172860493,52.46264221157211,1.0
RTX 4090,fastica,decomposition,python-loop,3,35.133221541636004,35.28348868777713,36.47224938559822,35.18335272472897,1.0
RTX 4090,nmf,decomposition,python-loop,3,10.61970588145648,10.668134802687245,17.879194676367867,10.637286805234597,1.0
RTX 4090,pca,decomposition,parallel,3,99.74785535611545,99.74786017646143,99.85356525744822,99.74785673548061,0.0
RTX 4090,svd,decomposition,parallel,3,99.06573453006344,99.06575533033293,99.5482187737921,99.0657419110483,0.0
RTX 4090,ekf,estimation,python-loop,4,4.334816420493409,6.257489383150655,11.236952887205934,4.637606807446045,1.0
RTX 4090,kalman,estimation,python-loop,4,29.51190733595077,33.50751962836354,37.79869342618532,30.435687082987357,1.0
RTX 4090,particle_1k,estimation,python-loop,4,17.722373819449295,22.544615042978954,25.759822225473194,18.733196011607014,1.0
RTX 4090,ukf,estimation,python-loop,4,4.958663553212482,6.786285037020364,10.636849765410128,5.288430010230992,1.0
RTX 4090,filterbank_32ch,filter,parallel,4,97.71145560232148,158.4919260710929,161.97161193109997,104.35321437650617,0.0
RTX 4090,fir_direct,filter,parallel,4,42.21946631012152,44.94555216647906,49.01588799784654,43.48517921424423,1.0
RTX 4090,fir_fft,filter,parallel,4,37.38960919344362,38.315044138192164,55.643212938212386,37.539852458791096,0.75
RTX 4090,iir_butter4,filter,parallel,3,99.95321210530987,99.95321368899742,99.95999469693099,99.95321345564113,0.0
RTX 4090,matched_filter,filter,parallel,4,41.36992201086413,43.72613445564142,56.505276828203854,41.95944744535186,0.5
RTX 4090,median,filter,parallel,4,99.29285452972002,99.31073065115407,99.31697030992297,99.29836097714531,0.0
RTX 4090,savgol,filter,parallel,4,30.244660656382408,32.660657651810176,42.82798679964782,31.358914509427493,1.0
RTX 4090,wiener,filter,parallel,4,62.93622669031144,64.331353722363,68.65499483250174,63.19351370969687,0.0
RTX 4090,cnn_denoiser,ml_enhanced,parallel,4,9.401025349981984,9.49158254040573,10.871378358182678,9.423007854458284,1.0
RTX 4090,lstm_denoiser,ml_enhanced,fused-sequential/parallel,4,3.5235535666716316,92.40904810218578,93.24861811638347,4.6366014387256325,0.25
RTX 4090,transformer_denoiser,ml_enhanced,parallel,4,5.685973604386964,61.53692413150295,61.96843105809354,6.25592255306044,0.0
RTX 4090,esprit,spectral,parallel,3,98.35769682906344,98.35778154160768,99.58997332230709,98.35769830288427,0.3333333333333333
RTX 4090,music,spectral,parallel,3,92.00950922079754,95.68131510116139,98.06377754510818,95.36458306529326,0.6666666666666666
RTX 4090,periodogram,spectral,parallel,4,61.30235303819945,63.025798223916425,68.58804266647607,61.41002909496953,0.25
RTX 4090,welch,spectral,parallel,4,74.31963003775311,76.02323834458497,80.46905457920252,74.62217244332354,0.0
RTX 4090,dct,transform,parallel,4,52.52978530302735,56.62523126227047,66.45890346503784,52.760028617884494,0.25
RTX 4090,direct_dft,transform,parallel,4,295.3321569279985,299.1888128690198,361.80430944848086,295.4643584982672,0.0
RTX 4090,dst,transform,parallel,4,41.33830706553495,43.07877565017957,74.92621378990117,41.687286730960466,0.5
RTX 4090,dwt_db4,transform,parallel,4,36.34925304765783,39.68595365006155,49.7293979250649,37.001528690483156,1.0
RTX 4090,dwt_haar,transform,parallel,4,32.79514614720563,37.106822849780556,54.1721175458534,32.83179241354884,0.75
RTX 4090,fft,transform,parallel,4,47.321459590648416,44.44796416034872,75.71543646866937,47.455050080399644,1.0
RTX 4090,hilbert,transform,parallel,4,38.71283838084972,39.766788221037785,48.80157743111711,38.89111230024956,1.0
RTX 4090,stft,transform,parallel,4,42.459795720742434,44.15919226617967,65.80319372062007,43.30387538123362,0.75
A100 SXM4,apa_p4,adaptive,python-loop,4,130.43821163010142,130.59507455309227,137.9504002875375,130.4776023187383,0.0
A100 SXM4,lms,adaptive,python-loop,4,379.56359759036906,379.96591195439026,515.1098982642887,379.66344140813266,0.0
A100 SXM4,nlms,adaptive,python-loop,4,286.14433221029174,286.88952885684193,295.60356345839983,286.3302746859436,0.0
A100 SXM4,rls,adaptive,python-loop,4,280.33379254253487,280.550236791605,294.2704263941916,280.3879681833547,0.0
A100 SXM4,jpeg_q50,compression,parallel,2,70.8146472309568,72.10317959394442,72.33640380904602,71.45197616639497,0.0
A100 SXM4,mdct_audio,compression,python-loop,3,261.3561726517599,261.3711879975823,271.3260702480176,261.3668552501784,0.0
A100 SXM4,fastica,decomposition,python-loop,3,68.23605945480226,68.24770764855015,68.88038303622865,68.23992794770855,0.0
A100 SXM4,nmf,decomposition,python-loop,3,45.81054495382879,45.8198082722146,48.73782683890626,45.813569967041175,1.0
A100 SXM4,pca,decomposition,parallel,3,99.30803939244981,99.3080442798483,99.61489592961274,99.30804077783333,0.0
A100 SXM4,svd,decomposition,parallel,3,98.29246105186193,98.29248308503215,99.03277172891346,98.2924684841292,0.0
A100 SXM4,ekf,estimation,python-loop,4,138.50930987155812,139.96219742742653,156.15272120415935,138.8700377256942,0.0
A100 SXM4,kalman,estimation,python-loop,4,101.48257691763065,101.97633344898836,108.6094276221353,101.60527125498862,0.25
A100 SXM4,particle_1k,estimation,python-loop,4,88.55101518267159,89.31477999443024,94.59200223596412,88.74152594326884,1.0
A100 SXM4,ukf,estimation,python-loop,4,173.19144054005466,174.9464450881917,213.3322476177467,173.622173468875,0.0
A100 SXM4,filterbank_32ch,filter,parallel,4,62.763885849091736,78.05511433348559,89.99529802703212,67.07834624595719,1.0
A100 SXM4,fir_direct,filter,parallel,4,40.13195646844035,43.078827064550715,46.03803346573947,40.24768100503187,1.0
A100 SXM4,fir_fft,filter,parallel,4,10.912758196726807,11.656688754657083,17.313421963160287,11.03659717359607,1.0
A100 SXM4,iir_butter4,filter,python-loop,3,2.385264114143896,56.549954608201666,57.24219100256547,2.9538245817190023,0.0
A100 SXM4,matched_filter,filter,parallel,4,10.917965533918464,11.655700647735783,17.09977451767225,11.042221121801779,1.0
A100 SXM4,median,filter,parallel,4,98.55066968926681,98.56846293764812,98.57186362397357,98.55617044367884,0.0
A100 SXM4,wiener,filter,parallel,4,33.94209813471059,35.77348784105297,40.12969065350925,34.53293961006096,1.0
A100 SXM4,cnn_denoiser,ml_enhanced,parallel,4,18.902149921842437,19.07968802121394,20.486364749337206,18.94656233134967,1.0
A100 SXM4,lstm_denoiser,ml_enhanced,fused-sequential/parallel,4,4.247414513895834,89.73385763977933,90.23261553846145,4.514141511325308,0.25
A100 SXM4,transformer_denoiser,ml_enhanced,parallel,4,1.690162663828974,50.73893075280598,54.30184689161555,5.461544521420873,0.25
A100 SXM4,esprit,spectral,parallel,3,75.22675699144455,75.23471871948398,151.0675949834392,75.22795853348651,0.6666666666666666
A100 SXM4,music,spectral,parallel,3,73.97898141771884,76.55567553878939,81.33713504724871,75.18343956915756,1.0
A100 SXM4,periodogram,spectral,parallel,4,25.581568706483402,24.5291750173369,30.66181270493357,25.631833995820557,1.0
A100 SXM4,welch,spectral,parallel,4,50.82073627882781,53.29684430044435,57.19883795430752,51.03962457376171,0.5
A100 SXM4,dct,transform,parallel,4,19.088400814739103,22.31105203476249,111.2155027066718,20.61335920601875,0.75
A100 SXM4,direct_dft,transform,parallel,4,197.6731832820565,200.14782264699534,215.4262384642798,198.81126752616075,0.0
A100 SXM4,dst,transform,parallel,4,23.755395799749195,24.836585376696792,62.100162566668246,23.975324719871224,0.75
A100 SXM4,fft,transform,parallel,4,106.60689285855412,123.47546156885676,175.49028296968393,107.03838228464896,0.25
A100 SXM4,hilbert,transform,parallel,4,4.411443704161214,4.387416541265654,17.34044106249697,4.453564716953333,1.0
A100 SXM4,stft,transform,parallel,4,14.710553888356092,17.262267611244173,32.61859793389934,15.985268374529841,1.0
