algorithm,category,N,B,variant,gpus,repeat_idx,n_kernels,n_memcpy,n_memset,n_cuda_events,model_seq_steps,model_fused_steps,outer_iters,kpi_table,kpi_census,ratio_census_over_model,wall_ms,top_kernels
svd,decomposition,256,1,default,A100 SXM4+RTX 4090,0,245,16,4,265,0,0,0,0,,,5314.87,"64x void ormtr_gerc<float, (int)5, (int)3, (int)1>(int, const T1 | 64x void ormtr_gemv_c<float, (int)4>(long long, long long, const | 36x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 18x void gesvdbj_batch_32x16<float, float>(long long, const int  | 18x void svd_row_rotate_batch_32x16<float>(long long, const int  | 7x void offA_stage1<float, float, (int)5, (int)3>(long long, lo | 7x void offA_stage2<float, (int)5, (int)3>(long long, T1 *) | 4x copy_info_kernel(int, int *)"
svd,decomposition,256,1,default,A100 SXM4+RTX 4090,1,245,16,4,265,0,0,0,0,,,4802.39,"64x void ormtr_gerc<float, (int)5, (int)3, (int)1>(int, const T1 | 64x void ormtr_gemv_c<float, (int)4>(long long, long long, const | 36x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 18x void gesvdbj_batch_32x16<float, float>(long long, const int  | 18x void svd_row_rotate_batch_32x16<float>(long long, const int  | 7x void offA_stage1<float, float, (int)5, (int)3>(long long, lo | 7x void offA_stage2<float, (int)5, (int)3>(long long, T1 *) | 4x copy_info_kernel(int, int *)"
svd,decomposition,512,1,default,A100 SXM4+RTX 4090,0,244,16,4,264,0,0,0,0,,,4966.70,"64x void ormtr_gerc<float, (int)5, (int)3, (int)1>(int, const T1 | 64x void ormtr_gemv_c<float, (int)4>(long long, long long, const | 36x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 18x void gesvdbj_batch_32x16<float, float>(long long, const int  | 18x void svd_row_rotate_batch_32x16<float>(long long, const int  | 7x void offA_stage1<float, float, (int)5, (int)3>(long long, lo | 7x void offA_stage2<float, (int)5, (int)3>(long long, T1 *) | 4x copy_info_kernel(int, int *)"
svd,decomposition,512,1,default,A100 SXM4+RTX 4090,1,244,16,4,264,0,0,0,0,,,4608.61,"64x void ormtr_gerc<float, (int)5, (int)3, (int)1>(int, const T1 | 64x void ormtr_gemv_c<float, (int)4>(long long, long long, const | 36x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 18x void gesvdbj_batch_32x16<float, float>(long long, const int  | 18x void svd_row_rotate_batch_32x16<float>(long long, const int  | 7x void offA_stage1<float, float, (int)5, (int)3>(long long, lo | 7x void offA_stage2<float, (int)5, (int)3>(long long, T1 *) | 4x copy_info_kernel(int, int *)"
svd,decomposition,1024,1,default,A100 SXM4+RTX 4090,0,137,16,4,157,0,0,0,0,,,4704.68,"36x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 18x void gesvdbj_batch_32x16<float, float>(long long, const int  | 18x void svd_row_rotate_batch_32x16<float>(long long, const int  | 7x void offA_stage1<float, float, (int)5, (int)3>(long long, lo | 7x void offA_stage2<float, (int)5, (int)3>(long long, T1 *) | 4x copy_info_kernel(int, int *) | 3x void recursive_gemv_truncated_uptate<float, (int)16>(long lo | 3x void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, fl"
svd,decomposition,1024,1,default,A100 SXM4+RTX 4090,1,137,16,4,157,0,0,0,0,,,4685.38,"36x void svd_column_rotate_batch_32x16<float, (int)5, (int)3>(lo | 18x void gesvdbj_batch_32x16<float, float>(long long, const int  | 18x void svd_row_rotate_batch_32x16<float>(long long, const int  | 7x void offA_stage1<float, float, (int)5, (int)3>(long long, lo | 7x void offA_stage2<float, (int)5, (int)3>(long long, T1 *) | 4x copy_info_kernel(int, int *) | 3x void recursive_gemv_truncated_uptate<float, (int)16>(long lo | 3x void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, fl"
fft,transform,256,2048,default,A100 SXM4+RTX 4090,0,2,0,0,2,0,0,0,0,,,4605.42,"1x void at::native::_fft_conjugate_copy_kernel<c10::complex<flo | 1x void regular_fft_r2c<(unsigned int)256, EPT<(unsigned int)8>"
fft,transform,1024,2048,default,A100 SXM4+RTX 4090,0,2,0,0,2,0,0,0,0,,,4727.31,"1x void at::native::_fft_conjugate_copy_kernel<c10::complex<flo | 1x void regular_fft_r2c<(unsigned int)1024, EPT<(unsigned int)1"
fft,transform,4096,2048,default,A100 SXM4+RTX 4090,0,2,0,0,2,0,0,0,0,,,4549.59,"1x void at::native::_fft_conjugate_copy_kernel<c10::complex<flo | 1x void regular_fft_r2c<(unsigned int)4096, EPT<(unsigned int)1"
fft,transform,16384,2048,default,A100 SXM4+RTX 4090,0,3,0,0,3,0,0,0,0,,,4583.51,"1x void at::native::_fft_conjugate_copy_kernel<c10::complex<flo | 1x void postprocess_kernel<float, unsigned int, (loadstore_modi | 1x void vector_fft<(unsigned int)8192, EPT<(unsigned int)32>, ("
apa_p4,adaptive,256,1,default,A100 SXM4+RTX 4090,0,2801,400,100,3301,1500,0,100,15,28.010,1.8673,5031.61,"400x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 225x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void <unnamed>::elementwise_kernel_with_index<int, at::nativ | 101x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void getrf_pivot<getrf_params_<float, (int)32, (int)1, (int) | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void trsm_batch_left_lower_kernel_small<float, (int)4, (int)"
apa_p4,adaptive,1024,1,default,A100 SXM4+RTX 4090,0,2801,400,100,3301,1500,0,100,15,28.010,1.8673,4977.72,"400x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 225x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void <unnamed>::elementwise_kernel_with_index<int, at::nativ | 101x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void getrf_pivot<getrf_params_<float, (int)32, (int)1, (int) | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void trsm_batch_left_lower_kernel_small<float, (int)4, (int)"
apa_p4,adaptive,4096,1,default,A100 SXM4+RTX 4090,0,2801,400,100,3301,1500,0,100,15,28.010,1.8673,4894.03,"400x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 225x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void <unnamed>::elementwise_kernel_with_index<int, at::nativ | 101x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void getrf_pivot<getrf_params_<float, (int)32, (int)1, (int) | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void trsm_batch_left_lower_kernel_small<float, (int)4, (int)"
apa_p4,adaptive,16384,1,default,A100 SXM4+RTX 4090,0,2801,400,100,3301,1500,0,100,15,28.010,1.8673,5020.28,"400x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 225x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void <unnamed>::elementwise_kernel_with_index<int, at::nativ | 101x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void getrf_pivot<getrf_params_<float, (int)32, (int)1, (int) | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void trsm_batch_left_lower_kernel_small<float, (int)4, (int)"
lms,adaptive,256,1,default,A100 SXM4+RTX 4090,0,1401,0,0,1401,1400,0,200,7,7.005,1.0007,4783.06,"250x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::reduce_kernel<(int)512, (int)1, at::native: | 200x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 200x void at::native::elementwise_kernel<(int)128, (int)2, void a | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void at::native::unrolled_elementwise_kernel<at::native::CUD | 50x void at::native::vectorized_elementwise_kernel<(int)2, at::n"
