algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,idle_temp_c,mean_clock_mhz,time_per_call_us,idle_load_pct,active_load_pct,gpu_idle_power_w,gpu_active_power_w,power_samples,idle_samples,thermal_wait_s,load_wait_s,cpu_name
fft,transform,256,1,fp32,1104214,5.000001099999963,15.677128547579297,4.694908381394239,29.127272727272725,10.595118164778524,13.450144179693428,145.63639567636255,67.25073569362524,6.0903715850030196e-05,79.0,88.0,50.0,1906.0363636363638,4.528108772393724,4.540066777963272,4.322727272727274,469.89816360601003,593.5,44,599,7.126668930053711,3.053328275680542,Intel Core i9-14900HX
fft,transform,1024,1,fp32,523773,5.000005799999826,12.406379310344828,1.899812330364876,29.832608695652176,12.362657607998177,17.426229385307348,149.16321650738612,87.13124799866415,0.0001663530727980712,79.7919254658385,95.0,50.0,2569.5130434782614,9.54613124387822,3.0679310344827586,9.079813664596273,593.5,593.5,322,580,6.111385107040405,3.0627973079681396,Intel Core i9-14900HX
fft,transform,4096,1,fp32,177790,5.0000007999999525,11.740255009107468,1.0277749006692878,28.025949367088604,14.142342296016226,16.285694357981136,140.12976925620117,81.42848481846039,0.0004580037393467596,74.82911392405063,88.0,50.0,1903.5170886075953,28.12307103886581,3.262295081967213,4.342721518987342,593.5,593.5,316,549,9.10451054573059,3.0288922786712646,Intel Core i9-14900HX
fft,transform,16384,1,fp32,42705,5.000006400000075,11.645018450184503,1.189251950854662,28.59294478527608,12.471338155038513,16.94792633509158,142.9649069212292,84.73974014218771,0.0019843048856618127,75.08588957055214,92.0,49.0,2016.1674846625767,117.08245872848788,3.1333948339483393,4.727607361963191,593.5,593.5,326,542,5.052369594573975,3.040841579437256,Intel Core i9-14900HX
direct_dft,transform,256,1,fp32,47484,5.000038599999925,15.239478260869566,2.641828695851239,37.19411764705882,15.731084648601101,21.95463938618925,185.9720239282325,109.77404438002492,0.0023118112286249037,68.6470588235294,73.0,50.0,2775.3352941176468,105.29943981130329,5.332173913043479,9.176470588235295,593.5,593.5,34,575,5.039860486984253,3.040168285369873,Intel Core i9-14900HX
direct_dft,transform,1024,1,fp32,34422,5.000067499999886,12.042662116040956,0.589980978317445,71.05333333333333,47.06002100093228,59.01067121729237,355.27146276665854,295.0573393067623,0.008571766292102791,71.66666666666667,84.0,51.0,2440.936842105263,145.25790192318536,3.235494880546075,9.555438596491227,593.5,593.5,285,586,24.310174703598022,3.058706045150757,Intel Core i9-14900HX
direct_dft,transform,4096,1,fp32,2037,5.0001735999999255,16.75731292517007,3.79563358034301,54.69999999999998,29.706968879372397,37.94268707482991,273.50949591999586,189.72002222462294,0.09313697703712466,64.96363636363637,69.0,54.0,2985.474545454545,2454.675306823724,6.55170068027211,34.81363636363637,593.5,593.5,220,588,17.19826912879944,3.034393548965454,Intel Core i9-14900HX
direct_dft,transform,16384,1,fp32,145,5.005944600000021,13.913022508038587,1.3208959480605251,57.826744186046504,31.687991726081876,43.91372167800792,289.4774777937221,219.82965789992758,1.5160666062063972,62.0,66.0,54.0,3353.822093023255,34523.755862069105,6.402893890675241,47.21220930232558,593.5,593.5,172,622,52.47487664222717,3.050506114959717,Intel Core i9-14900HX
dct,transform,256,1,fp32,1010051,5.000000300000011,14.035096153846156,0.8138636428886452,33.18212290502794,15.301714730890938,19.147026751181784,165.9106244797769,95.73513950001714,9.478248078564067e-05,68.08938547486034,84.0,50.0,2660.312849162011,4.950245383648955,7.090384615384615,7.362011173184358,593.5,593.5,179,624,32.23290276527405,3.058133840560913,Intel Core i9-14900HX
dct,transform,1024,1,fp32,872939,5.0000062000001435,13.801510067114096,2.300528331841047,29.236792452830187,14.057585916049485,15.435282385716091,146.18414353226834,77.17650762733346,8.84099663634383e-05,67.29559748427673,88.0,50.0,1585.5132075471697,5.7277841865240795,3.553523489932886,4.79182389937107,473.2511744966443,593.5,318,596,25.28803062438965,3.017305612564087,Intel Core i9-14900HX
dct,transform,4096,1,fp32,388672,5.000003399999969,12.264371772805509,0.4850120137928165,31.75436893203883,12.625646396594924,19.48999715923332,158.77195262504753,97.45005206215633,0.000250725681454173,69.2135922330097,83.0,49.0,1914.4524271844662,12.86432621850807,4.37710843373494,8.033009708737861,593.5,593.5,309,581,7.1102821826934814,3.0480427742004395,Intel Core i9-14900HX
dct,transform,16384,1,fp32,95484,5.000016199999891,12.12478184991274,0.36175859424244583,28.218322981366462,10.198164171413971,16.093541131453723,141.09207204366155,80.46796637263319,0.0008427376981759581,77.3913043478261,87.0,50.0,2208.808695652174,52.364963763561335,3.77783595113438,4.430745341614907,593.5,593.5,322,573,9.136733293533325,3.053516387939453,Intel Core i9-14900HX
dst,transform,256,1,fp32,1000415,5.000003399999969,11.918588640275386,1.0429991531813676,30.543930635838148,14.010282377445739,18.625341995562763,152.71975702855394,93.12677330397602,9.308814172516008e-05,71.15028901734104,86.0,51.0,1950.9606936416183,4.997929259357336,2.9999999999999996,4.357803468208093,593.5,593.5,173,581,10.164889097213745,3.0304598808288574,Intel Core i9-14900HX
dst,transform,1024,1,fp32,829971,5.000001299999894,12.643936731107205,1.3800623898445603,27.134394904458603,13.121289713368105,14.490458173351398,135.6720097970035,72.45230970435108,8.729498946872972e-05,76.5732484076433,88.0,51.0,2127.5808917197455,6.024308439692344,4.614235500878735,4.350955414012739,593.5,593.5,314,569,7.075062036514282,3.036928653717041,Intel Core i9-14900HX
dst,transform,4096,1,fp32,358324,5.000002599999789,12.029965753424658,1.3750003731724703,26.9765625,11.129265224335061,14.946596746575342,134.8828826390568,74.73302259402509,0.0002085627046863316,76.4125,87.0,53.0,2336.4075000000003,13.953859077259098,3.3974315068493146,5.639062500000001,593.5,593.5,320,584,5.07504415512085,3.0410611629486084,Intel Core i9-14900HX
dst,transform,16384,1,fp32,87271,5.0000254000001405,13.200331125827814,1.882518011212939,37.20031347962383,8.81262808104563,23.999982353796014,186.00251228608676,120.00052136853523,0.0013750331882129829,81.39184952978056,88.0,53.0,2499.42131661442,57.293091634106865,4.051655629139073,7.792476489028215,593.5,593.5,319,604,13.156429767608643,3.045466423034668,Intel Core i9-14900HX
dwt_haar,transform,256,1,fp32,1172596,5.000000300000011,14.494879999999998,2.530430355809067,33.804142011834315,11.427467972558764,19.309262011834317,169.02072020041453,96.5463158519504,8.23355323162883e-05,68.50887573964496,80.0,52.0,2866.3384615384616,4.264043455717068,7.9008,9.998816568047339,593.5,593.5,169,625,15.157881259918213,3.0344884395599365,Intel Core i9-14900HX
dwt_haar,transform,1024,1,fp32,1126616,5.0000027000000955,15.700486223662885,1.8810536437295378,31.09617021276596,13.235385606065295,15.395683989103073,155.48093502349235,76.9784615138636,6.832715096702302e-05,78.06808510638298,90.0,53.0,2266.588085106383,4.438071800862136,8.16612641815235,8.043829787234044,593.5,593.5,235,617,8.069156646728516,3.0314741134643555,Intel Core i9-14900HX
dwt_haar,transform,4096,1,fp32,743743,5.000004500000159,12.430158730158729,0.8511371019636778,28.244224422442244,11.723340994291961,15.814065692283515,141.22124921122563,79.0703996247157,0.00010631414295625735,71.57755775577557,80.0,50.0,1820.8316831683169,6.722758399070861,3.929982363315697,6.307920792079207,593.5,593.5,303,567,9.10490608215332,3.033580780029297,Intel Core i9-14900HX
dwt_haar,transform,16384,1,fp32,301008,5.000011000000086,13.093975903614458,4.599533935018301,27.485454545454548,9.010103786745958,14.39147864184009,137.42757506727511,71.95755151546675,0.00023905527931306392,85.56363636363636,95.0,51.0,2087.947272727273,16.610890740445722,3.4423407917383826,4.758181818181819,593.5,593.5,330,581,5.057779788970947,3.0350899696350098,Intel Core i9-14900HX
dwt_db4,transform,256,1,fp32,1120017,5.000005700000202,12.284129692832764,0.9129915629956665,31.44236111111111,13.824794452264976,19.158231418278348,157.21198477702023,95.79126629331469,8.552661816143389e-05,71.81944444444444,81.0,50.0,1879.383333333333,4.464223043043277,2.971501706484641,4.237499999999999,593.5,593.5,144,586,6.071478605270386,3.0155527591705322,Intel Core i9-14900HX
dwt_db4,transform,1024,1,fp32,1022004,5.000000699999873,11.675951557093427,0.6470798481124376,27.480250783699056,12.495740412786805,15.804299226605629,137.40127315466734,79.0215071960356,7.732015451606413e-05,68.52664576802508,83.0,50.0,1773.4269592476487,4.892349442859199,2.948615916955017,4.512539184952979,593.5,593.5,319,578,18.177271604537964,3.031001567840576,Intel Core i9-14900HX
dwt_db4,transform,4096,1,fp32,511337,5.000002400000085,11.470430107526882,1.172766004685447,26.40555555555555,11.632813707642596,14.93512544802867,132.02784115111334,74.67566308444569,0.00014604001487169066,70.72875816993464,88.0,50.0,2151.086274509804,9.778291811466968,3.111290322580645,4.430718954248366,593.5,593.5,306,558,5.060591220855713,3.0617117881774902,Intel Core i9-14900HX
dwt_db4,transform,16384,1,fp32,167994,5.000021799999558,12.251525423728813,0.7817121876169564,25.89666666666667,9.739434731486673,13.645141242937855,129.48389788065523,68.22600367876235,0.0004061216690998628,77.96,95.0,52.0,1808.8139999999999,29.763097491574452,3.1667796610169487,4.619333333333333,593.5,593.5,300,590,9.125524759292603,3.0436339378356934,Intel Core i9-14900HX
stft,transform,256,1,fp32,82744,5.000037999999677,12.011343804537523,1.0093941518062748,27.882,12.864286843816878,15.870656195462479,139.41105951599098,79.35388406224268,0.0009590288608508494,70.98,85.0,53.0,1911.448,60.427801411578805,3.3774869109947647,4.429999999999999,593.5,593.5,150,573,5.109454154968262,3.0285468101501465,Intel Core i9-14900HX
