algorithm,category,N,cpu_energy_j,gpu_energy_batch_j,gpu_energy_per_sig_j,ratio,winner,cpu_time_us,cpu_delta_w,gpu_delta_w
apa_p4,adaptive,256,0.02049016739569664,0.8491921156146278,0.8491921156146278,0.02412901276275543,CPU,1126.0989641973085,18.195707524073768,19.1548095959596
apa_p4,adaptive,1024,0.01801965776384125,0.8605866293417559,0.8605866293417559,0.0209388074941672,CPU,1137.7688282138542,15.837714408233275,21.611660929648238
apa_p4,adaptive,4096,0.0195427898736705,0.9271792791425303,0.9271792791425303,0.02107768186077667,CPU,1139.7987007066774,17.145825716026813,21.283736809045227
apa_p4,adaptive,16384,0.019004891113757926,0.8296224488360903,0.8296224488360903,0.022907879530526965,CPU,1142.3004111466523,16.637384464110127,20.175270431472086
cnn_denoiser,ml_enhanced,256,0.008338466903706708,0.24861875383854812,0.00012139587589772857,68.68822224843578,GPU,326.2288249494503,25.560178212329234,144.14506381909547
cnn_denoiser,ml_enhanced,1024,0.017517540863534145,0.24999172988947346,0.00048826509744037786,35.8771105191954,GPU,794.3399682286894,22.052951587714734,145.81607374371865
cnn_denoiser,ml_enhanced,4096,0.03180882116334746,0.2494130500292978,0.0019485394533538892,16.32444296090443,GPU,1650.2537293727733,19.275109395109396,144.3589723618091
cnn_denoiser,ml_enhanced,16384,0.11293739268784982,0.24591627011660225,0.00768488344114382,14.696044976192923,GPU,4787.822488039015,23.588466984728676,141.90028442211062
dct,transform,256,9.478248078564067e-05,0.004395998702304874,2.1464837413598017e-06,44.15709234564049,GPU,4.950245383648955,19.147026751181784,45.649697110552765
dct,transform,1024,8.84099663634383e-05,0.017858654438426567,8.720046112512972e-06,10.138703995678759,GPU,5.7277841865240795,15.435282385716091,142.2957502512563
dct,transform,4096,0.000250725681454173,0.10840344014941775,5.2931367260457884e-05,4.736807198280639,GPU,12.86432621850807,19.48999715923332,129.19737135678395
dct,transform,16384,0.0008427376981759581,0.2808637234261433,0.00027428097990834306,3.072534225514205,GPU,52.364963763561335,16.093541131453723,119.20400335008378
direct_dft,transform,256,0.0023118112286249037,0.0036270593330309355,7.084100259826046e-06,326.3380166617901,GPU,105.29943981130329,21.95463938618925,89.33222780569514
direct_dft,transform,1024,0.008571766292102791,0.03333874216837418,6.511473079760582e-05,131.64096951803666,GPU,145.25790192318536,59.01067121729237,148.47729233668338
dst,transform,256,9.308814172516008e-05,0.009767226821676288,4.769153721521625e-06,19.51879665884617,GPU,4.997929259357336,18.625341995562763,76.38300201005026
dst,transform,1024,8.729498946872972e-05,0.03399615644822685,1.6599685765735767e-05,5.258833853886538,GPU,6.024308439692344,14.490458173351398,149.2389741012756
dst,transform,4096,0.0002085627046863316,0.2718272974376317,0.0002654563451539372,0.7856760951236138,CPU,13.953859077259098,14.946596746575342,136.4800326633166
dst,transform,16384,0.0013750331882129829,0.30948505108484586,0.0006044629904000896,2.2748012865152565,GPU,57.293091634106865,23.999982353796014,146.255017523515
dwt_db4,transform,256,8.552661816143389e-05,0.001956582418747618,9.553625091541103e-07,89.52268624939052,GPU,4.464223043043277,19.158231418278348,38.01824045226131
dwt_db4,transform,1024,7.732015451606413e-05,0.00553606170889003,2.70315513129396e-06,28.603668957412786,GPU,4.892349442859199,15.804299226605629,95.74453957286434
dwt_db4,transform,4096,0.00014604001487169066,0.022737630591263654,1.1102358687140456e-05,13.153962953912183,GPU,9.778291811466968,14.93512544802867,139.05403429648243
dwt_db4,transform,16384,0.0004061216690998628,0.12243361989389392,5.978204096381539e-05,6.793372433465065,GPU,29.763097491574452,13.645141242937855,146.94936683417086
dwt_haar,transform,256,8.23355323162883e-05,0.0015046341954858683,7.346846657645841e-07,112.06921302842487,GPU,4.264043455717068,19.309262011834317,38.70125937379204
dwt_haar,transform,1024,6.832715096702302e-05,0.0037780263605578534,1.8447394338661394e-06,37.03891710268556,GPU,4.438071800862136,15.395683989103073,88.12122010050251
dwt_haar,transform,4096,0.00010631414295625735,0.0165536124424369,8.082818575408642e-06,13.15310271589047,GPU,6.722758399070861,15.814065692283515,141.64715125628143
dwt_haar,transform,16384,0.00023905527931306392,0.10769227479820052,5.258411855380885e-05,4.546149786050722,GPU,16.610890740445722,14.39147864184009,135.13239723618094
