algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out
fft,transform,256,2048,fp32,350115,10.008259057998657,28.683399999999995,0.004465422712353833,73.26757788944721,14.11285249232287,44.58417788944722,733.2809000696822,446.2100022054836,0.0012744669671550307,49.25125628140704,51,2265,28.58563345757439,199,40,43.0,5.0061235427856445,False
fft,transform,1024,2048,fp32,210138,10.001312971115112,4.548500000000001,0.008500000000000174,114.43389447236177,38.90664263580024,109.88539447236177,1144.4891931216498,1098.9982210725327,0.005229888078655611,55.64824120603015,59,2175,47.59402378967685,199,40,45.0,6.008928298950195,False
fft,transform,4096,2048,fp32,46323,10.002601385116577,4.55955,0.008780518207941873,150.6885577889447,54.61452031853383,146.1290077889447,1507.2775768609176,1461.6702157154093,0.03155387638355481,57.05527638190955,61,2023,215.93164054824985,199,40,46.0,7.006249666213989,False
fft,transform,16384,2048,fp32,6087,10.003970384597778,4.65371794871795,0.013196636552737988,131.64078391959796,48.67048080466567,126.98706597088001,1316.9305037368936,1270.374847199648,0.20870294844745327,55.040201005025125,58,2144,1643.4976810576275,199,39,47.0,9.009280443191528,False
direct_dft,transform,256,512,fp32,246329,10.001428604125977,4.661666666666664,0.03033685524778053,93.9938944723618,29.392683880729265,89.33222780569514,940.0732247890778,893.4498984461773,0.0036270593330309355,54.98994974874372,58,2197,40.601912905609886,199,39,47.0,9.007344961166382,False
direct_dft,transform,512,512,fp32,128826,10.001919746398926,4.7355,0.07050000000000001,143.6081457286432,46.32085730468591,138.8726457286432,1436.3571485070509,1388.9930575479789,0.010781931112880776,61.58793969849246,66,2151,77.63898395043644,199,40,47.0,6.00480580329895,False
direct_dft,transform,1024,512,fp32,44539,10.000682353973389,4.7021749999999995,0.0077617250015702835,153.1794673366834,52.28176533986733,148.47729233668338,1531.8991959850125,1484.8742374372177,0.03333874216837418,63.618090452261306,68,1850,224.53764911590716,199,40,48.0,8.007519960403442,False
direct_dft,transform,2048,512,fp32,11582,10.001182079315186,4.72125,0.020185081124434318,154.55688442211053,50.46973214866011,149.83563442211053,1545.7515427172002,1498.5334618252334,0.12938468846703793,64.22613065326634,68,1773,863.5107994573636,199,40,48.0,9.008575677871704,False
dct,transform,256,2048,fp32,103894,10.004839420318604,4.756725,0.01654839493727414,50.40642211055277,16.326381771582795,45.649697110552765,504.3081589688776,456.7178891772626,0.004395998702304874,50.221105527638194,51,1827,96.29852946578823,199,40,48.0,9.007599353790283,False
dct,transform,1024,2048,fp32,79710,10.00390625,4.5853,0.011645170672858429,146.88105025125628,51.793492032611084,142.2957502512563,1469.3842566151068,1423.5133452869818,0.017858654438426567,57.5678391959799,61,2142,125.50377932505332,199,40,47.0,5.005609035491943,False
dct,transform,4096,2048,fp32,11928,10.00822401046753,4.8569,0.02135860482334936,134.05427135678394,44.09171508848293,129.19737135678395,1341.6451772986945,1293.0362341022549,0.10840344014941775,56.04522613065327,59,2186,839.0529854516708,199,40,48.0,9.0073881149292,False
dct,transform,16384,1024,fp32,4248,10.008968353271484,4.8693333333333335,0.03831270347891483,124.07333668341711,43.83481678454793,119.20400335008378,1241.8461003491198,1193.1090971142567,0.2808637234261433,54.969849246231156,58,2132,2356.1601584914038,199,39,48.0,9.008285760879517,False
dst,transform,256,2048,fp32,78277,10.009415626525879,4.9224000000000006,0.04095412067179568,81.30540201005026,28.07568312121381,76.38300201005026,813.8195614003656,764.5492139203548,0.009767226821676288,54.1356783919598,56,2196,127.87173277624179,199,40,48.0,8.007228374481201,False
dst,transform,1024,2048,fp32,43902,10.000733852386475,4.647538461538461,0.017994081867339723,153.88651256281406,51.234464739119844,149.2389741012756,1538.9780556126311,1492.4992603900553,0.03399615644822685,58.221105527638194,61,1914,227.7967712720713,199,39,47.0,8.009592771530151,False
dst,transform,4096,1024,fp32,5024,10.006301403045654,4.8835,0.031116715765003092,141.3635326633166,51.20540298996299,136.4800326633166,1414.526115228435,1365.6603423266615,0.2718272974376317,57.175879396984925,60,2133,1991.7001200329726,199,40,48.0,9.007280111312866,False
dst,transform,16384,512,fp32,4727,10.002636909484863,4.741128205128204,0.01555499670265018,150.9961457286432,54.12416350215408,146.255017523515,1510.3596204552816,1462.9358364780664,0.30948505108484586,59.14572864321608,63,2109,2116.0645038047096,199,39,49.0,8.00613784790039,False
dwt_haar,transform,256,2048,fp32,257261,10.001837253570557,4.769846153846156,0.03985649801381251,43.471105527638194,12.299690261407086,38.70125937379204,434.79092272022865,387.08369776488996,0.0015046341954858683,50.02010050251256,51,1663,38.87817140402376,199,39,49.0,8.0080406665802,False
dwt_haar,transform,1024,2048,fp32,233247,10.000012636184692,4.6508,0.004589117562233681,92.77202010050252,31.118305245891534,88.12122010050251,927.7213732894054,881.2133145210377,0.0037780263605578534,55.015075376884425,57,2185,42.873060044436556,199,40,47.0,5.004092454910278,False
dwt_haar,transform,4096,2048,fp32,85642,10.00856328010559,4.6041,0.022980208876335256,146.25125125628142,49.9082408919794,141.64715125628143,1463.764902993115,1417.684476795181,0.0165536124424369,59.266331658291456,63,2153,116.8651278590597,199,40,47.0,8.008460521697998,False
dwt_haar,transform,16384,2048,fp32,12549,10.000787258148193,4.7410499999999995,0.03033393314425286,139.87344723618094,45.198631253300576,135.13239723618094,1398.844588872862,1351.4303564426184,0.10769227479820052,57.47738693467337,60,2208,796.9389798508402,199,40,48.0,9.010196447372437,False
dwt_db4,transform,256,2048,fp32,194311,10.000081062316895,4.73385,0.0009367496997597951,42.752090452261314,13.651192486496413,38.01824045226131,427.52437010611726,380.1854863692684,0.001956582418747618,50.03517587939699,51,1632,51.46430753954688,199,40,48.0,9.006714820861816,False
dwt_db4,transform,1024,2048,fp32,172960,10.000750303268433,4.682375,0.0168444167307748,100.42691457286433,33.375050974726115,95.74453957286434,1004.344496370886,957.5172331696195,0.00553606170889003,56.618090452261306,60,2176,57.82117427884154,199,40,47.0,5.004280090332031,False
dwt_db4,transform,4096,2048,fp32,61157,10.000179290771484,4.648825,0.023901765102184225,143.70285929648242,48.7816343408575,139.05403429648243,1437.054357561332,1390.5652740699113,0.022737630591263654,60.76381909547739,65,2156,163.51651145038971,199,40,48.0,7.005288124084473,False
dwt_db4,transform,16384,2048,fp32,12014,10.009689331054688,4.649999999999999,0.02467792535850614,151.59936683417087,53.38429179716191,146.94936683417086,1517.462564794646,1470.9175094052416,0.12243361989389392,59.36180904522613,63,2064,833.168747382611,199,40,48.0,10.008862257003784,False
stft,transform,256,2048,fp32,167489,10.000317811965942,4.746025,0.009540669525772346,86.02939195979899,27.398872995696507,81.28336695979898,860.3212607681775,812.8595024246417,0.004853211270140975,54.743718592964825,57,2170,59.70731099932498,199,40,49.0,8.005574941635132,False
stft,transform,1024,2048,fp32,115456,10.001429557800293,4.970325,0.020879879669193226,146.30409547738694,50.443756789628445,141.33377047738693,1463.2501049347738,1413.5397495679001,0.012243103429600022,60.49748743718593,64,1968,86.62546388061506,199,40,49.0,5.003208160400391,False
stft,transform,4096,2048,fp32,15467,10.000839710235596,4.984399999999999,0.019365949499056345,135.49594974874367,47.67693947039602,130.51154974874368,1355.0732748233224,1305.2250893716243,0.0843877344909565,58.85427135678392,62,2143,646.5920805738408,199,40,50.0,9.006428241729736,False
stft,transform,16384,1024,fp32,7848,10.00623607635498,5.066525,0.061863958610809996,135.36347236180907,48.302773420462444,130.29694736180906,1354.4788605674144,1303.7820153306598,0.16612920684641433,59.67336683417086,62,2144,1275.0045968851912,199,40,51.0,8.004225969314575,False
