algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out,gpu_name
fft,transform,256,2048,fp32,266897,10.000015258789062,74.9766,0.035744090420656904,125.93831,8.625112292248723,50.96171,1259.3850216661071,509.6178776139831,0.0019094177814437147,36.82,38,1369,37.46769449933518,200,40,33.0,5.013906955718994,False,NVIDIA A100-SXM4-40GB
fft,transform,1024,2048,fp32,185531,10.000022172927856,75.27530000000002,0.02785157087131817,199.189165,18.298500992370247,123.91386499999999,1991.8960666069854,1239.1413975331889,0.006678891384907045,42.925,45,1402,53.89946786751463,200,40,34.0,5.0057597160339355,False,NVIDIA A100-SXM4-40GB
fft,transform,4096,2048,fp32,66213,10.000036001205444,75.26360000000003,0.035744090420656904,309.252035,35.781566387509855,233.98843499999995,3092.531483446046,2339.8927738657194,0.035338872636275644,49.625,53,1398,151.02828751461865,200,40,36.0,5.005679607391357,False,NVIDIA A100-SXM4-40GB
fft,transform,16384,2048,fp32,14589,10.000596046447754,76.22155000000001,0.12792086420908783,329.023425,35.29422514058603,252.80187499999997,3290.4303632436986,2528.169431659579,0.17329285294808272,51.95,55,1402,685.488796109929,200,40,39.0,5.005630970001221,False,NVIDIA A100-SXM4-40GB
direct_dft,transform,256,512,fp32,204238,10.00002121925354,76.68305000000001,0.09886732271079461,155.06145,13.663240356427167,78.3784,1550.6177902882218,783.7856631311416,0.00383760937304097,44.84,46,1398,48.962588838774074,200,40,40.0,7.007929563522339,False,NVIDIA A100-SXM4-40GB
direct_dft,transform,512,512,fp32,82791,10.00006890296936,76.01289999999999,0.02370000000000232,194.36997499999998,17.974696944159447,118.357075,1943.7131426684318,1183.5789051539123,0.014295985133093117,46.835,48,1401,120.78690803311181,200,40,38.0,6.006925344467163,False,NVIDIA A100-SXM4-40GB
direct_dft,transform,1024,512,fp32,31807,10.000033617019653,76.126175,0.08681586476560445,247.95377499999998,28.193393637240177,171.82759999999996,2479.5460854669273,1718.2817763318058,0.05402212646058433,50.545,53,1398,314.3972590002092,200,40,38.0,6.006937265396118,False,NVIDIA A100-SXM4-40GB
direct_dft,transform,2048,512,fp32,10164,10.000471830368042,76.37225,0.16300318248426698,306.82955000000004,34.573032553820035,230.45730000000003,3068.440271499503,2304.6817367526774,0.22674948216771718,54.66,57,1402,983.9110419488431,200,40,39.0,6.006734609603882,False,NVIDIA A100-SXM4-40GB
dct,transform,256,2048,fp32,76121,10.000021934509277,76.91565,0.10875811463978036,91.38882,1.4889128274012549,14.473169999999996,913.8902045689201,144.7320174618816,0.0019013415149811697,39.69,40,1095,131.37008098303068,200,40,40.0,7.007681369781494,False,NVIDIA A100-SXM4-40GB
dct,transform,1024,2048,fp32,72994,10.000072002410889,76.396,0.07008566187174266,211.272615,18.7742531472433,134.87661500000002,2112.741362137635,1348.7758614414527,0.01847790039512087,45.22,47,1399,136.9985478588773,200,40,38.0,5.005669832229614,False,NVIDIA A100-SXM4-40GB
dct,transform,4096,2048,fp32,21474,10.00017762184143,76.15225000000001,0.025796075282880734,280.060355,24.919100379808558,203.908105,2800.653294835967,2039.1172685330928,0.09495749597341402,48.67,51,1400,465.68769776666807,200,40,38.0,6.006651401519775,False,NVIDIA A100-SXM4-40GB
